Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4355092,CHOLERA_0000000003,COUNTRY,IND,SEAR,YEAR,South-East Asia,,1958,,,,,,,,74.52,,,,,2013-06-11T14:04:28+02:00,1958,1958-01-01T00:00:00+01:00,1958-12-31T00:00:00+01:00
4368320,CHOLERA_0000000003,COUNTRY,BEN,AFR,YEAR,Africa,,2000,,,,,,,,2.35,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4437905,CHOLERA_0000000003,COUNTRY,CHE,EUR,YEAR,Europe,,1977,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
4482429,CHOLERA_0000000003,COUNTRY,CIV,AFR,YEAR,Africa,,2011,,,,,,,,1.9,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4532750,CHOLERA_0000000003,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,1995,,,,,,,,0.37,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4589435,CHOLERA_0000000003,COUNTRY,MWI,AFR,YEAR,Africa,,1992,,,,,,,,2.68,,,,,2013-06-11T14:04:28+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4672219,CHOLERA_0000000003,COUNTRY,MOZ,AFR,YEAR,Africa,,2010,,,,,,,,1.57,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4678263,CHOLERA_0000000003,COUNTRY,ZAF,AFR,YEAR,Africa,,2000,,,,,,,,0.35,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4678671,CHOLERA_0000000003,COUNTRY,SEN,AFR,YEAR,Africa,,1997,,,,,,,,2.97,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4691377,CHOLERA_0000000003,COUNTRY,SWE,EUR,YEAR,Europe,,1987,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
