Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5466982,CHOLERA_0000000002,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,1967,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1967,1967-01-01T00:00:00+01:00,1967-12-31T00:00:00+01:00
5480903,CHOLERA_0000000002,COUNTRY,MWI,AFR,YEAR,Africa,,,1978,,,,,,,24,24.0,,,,2013-06-11T14:01:25+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
5481195,CHOLERA_0000000002,COUNTRY,GBR,EUR,YEAR,Europe,,,1989,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
5492252,CHOLERA_0000000002,COUNTRY,MMR,SEAR,YEAR,South-East Asia,,,1991,,,,,,,39,39.0,,,,2013-06-11T14:01:25+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
5499291,CHOLERA_0000000002,COUNTRY,GAB,AFR,YEAR,Africa,,,1981,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
5501037,CHOLERA_0000000002,COUNTRY,SEN,AFR,YEAR,Africa,,,2009,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
5506003,CHOLERA_0000000002,COUNTRY,BRN,WPR,YEAR,Western Pacific,,,1970,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
5509264,CHOLERA_0000000002,COUNTRY,GHA,AFR,YEAR,Africa,,,1997,,,,,,,12,12.0,,,,2013-06-11T14:01:25+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
5510736,CHOLERA_0000000002,COUNTRY,CMR,AFR,YEAR,Africa,,,1984,,,,,,,60,60.0,,,,2013-06-11T14:01:25+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
5511918,CHOLERA_0000000002,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,1956,,,,,,,15310,15310.0,,,,2013-06-11T14:01:25+02:00,1956,1956-01-01T00:00:00+01:00,1956-12-31T00:00:00+01:00
5516519,CHOLERA_0000000002,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,1976,,,,,,,0,0.0,,,,2013-06-11T14:01:25+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
5518373,CHOLERA_0000000002,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,2002,,,,,,,159,159.0,,,,2013-06-11T14:01:25+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
